Date,Close/Last,Volume,Open,High,Low
04/06/2021,$189.73,7926185,$188.5,$191.2799,$187.87
04/05/2021,$188.5,7405334,$191.47,$191.67,$188.0945
04/01/2021,$188.97,7749378,$186.43,$189.1,$185.59
03/31/2021,$184.52,8478002,$185.83,$186.9,$184.42
03/30/2021,$185.53,5929698,$183.83,$186.3212,$183.56
03/29/2021,$184.85,7544714,$185.24,$185.94,$183.15
03/26/2021,$185.92,10196130,$188.83,$188.975,$182.57
03/25/2021,$186.91,9609238,$181.85,$187.71,$181.01
03/24/2021,$184.72,13549130,$190.06,$190.5,$184.64
03/23/2021,$188.73,10701240,$191.59,$192.335,$187.97
03/22/2021,$192.86,8838532,$193.26,$196.33,$192
03/19/2021,$191.14,28354580,$190.92,$194,$189.76
03/18/2021,$192.28,9644461,$194.95,$195.08,$191.74
03/17/2021,$195.24,14418680,$193.44,$196.19,$191.781
03/16/2021,$194.24,9680745,$196.1,$196.59,$192.88
03/15/2021,$196.76,10319670,$198.54,$198.54,$194.805
03/12/2021,$197.16,13249120,$196.53,$198.41,$195.18
03/11/2021,$196.75,11933920,$197.38,$199.05,$195.4
03/10/2021,$195.06,13662050,$197.31,$198.8,$194.68
03/09/2021,$194.51,23331040,$200.185,$201.7,$194.37
03/08/2021,$201.91,25093170,$197.31,$203.02,$193.79
03/05/2021,$189.99,10266390,$189.15,$190.57,$183.34
03/04/2021,$188.03,12542620,$189.895,$192.48,$184.12
03/03/2021,$192.26,8750307,$194.63,$196.81,$192.21
03/02/2021,$193.94,8371357,$196.1,$197.9567,$193.49
03/01/2021,$194.98,10709920,$193.23,$196.9,$191.39
02/26/2021,$189.04,15843970,$190.07,$191.61,$185.4501
02/25/2021,$190.98,12712040,$197.73,$197.96,$190.38
02/24/2021,$197.51,16205920,$197.58,$200.6,$195.33
02/23/2021,$197.09,23191450,$193.59,$198.94,$188.66
02/22/2021,$191.76,18799610,$181.74,$194.02,$181.53
02/19/2021,$183.65,8834497,$184.27,$184.78,$182.79
02/18/2021,$183,12390770,$184.79,$186.4,$182.84
02/17/2021,$186.44,11406370,$185.36,$187.63,$182.16
02/16/2021,$186.35,11630730,$187.3,$188.44,$184.86
02/12/2021,$187.67,27233780,$193,$193.85,$186.56
02/11/2021,$190.91,17507890,$189.18,$191.25,$188.07
02/10/2021,$189.63,11464640,$189.98,$190.7,$185.81
02/09/2021,$188.21,11270810,$188.17,$189.25,$186.04
02/08/2021,$190,16085700,$183.85,$190.64,$183.3
02/05/2021,$181.16,6640514,$181.71,$182.32,$179.33
02/04/2021,$180.23,9035407,$177.59,$181.38,$176.49
02/03/2021,$176.43,5508576,$177,$178.4299,$175.76
02/02/2021,$176.96,12215220,$173.77,$179.755,$172.8002
02/01/2021,$170.97,8140399,$170.835,$171.7289,$168.03
01/29/2021,$168.17,12848830,$168.8,$169.81,$165.7901
01/28/2021,$171.88,14449100,$166.17,$172.88,$165.95
01/27/2021,$163.03,18239250,$165.01,$166.34,$160.52
01/26/2021,$169.56,7523199,$173,$173.345,$169.05
01/25/2021,$171.89,7833745,$171.89,$173.11,$168.77
01/22/2021,$172.78,9517202,$174,$175.2499,$171.89
01/21/2021,$171.28,8423916,$173.24,$175,$171.02
01/20/2021,$173.64,9809232,$175.22,$177.88,$173
01/19/2021,$172.26,7834738,$172.1,$173.71,$171.44
01/15/2021,$171.44,12232540,$172.95,$174.19,$170.17
01/14/2021,$173.43,8951171,$177.01,$178.35,$173.4
01/13/2021,$176.12,6839540,$174.4,$177.73,$173.74
01/12/2021,$175.99,8349839,$177.3,$178.32,$174.861
01/11/2021,$179.09,6464144,$177.75,$181.255,$177.35
01/08/2021,$178.69,7894454,$178.81,$180.02,$176.6
01/07/2021,$178.58,7300815,$179.5,$179.95,$177.575
01/06/2021,$179.12,7517758,$178.32,$181.61,$177.2836
01/05/2021,$178.44,7771802,$176.2,$180.3399,$176.2
01/04/2021,$177.68,13426600,$182.255,$182.59,$174.73
12/31/2020,$181.18,7073495,$181.22,$183.4,$180.27
12/30/2020,$181.17,11680440,$178.5,$183.4,$178.37
12/29/2020,$177.3,6875370,$180.01,$180.2,$176.22
12/28/2020,$178.86,13145440,$175.75,$179.92,$175.05
12/24/2020,$173.73,2720964,$173.99,$174.5799,$172.38
12/23/2020,$173.55,9994045,$172.96,$175.95,$172.3
12/22/2020,$170.45,6424901,$170,$171.45,$169.16
12/21/2020,$170.69,11424230,$170.09,$171.94,$168.19
12/18/2020,$172.89,21172080,$173.6,$175.843,$172.28
12/17/2020,$173.55,9004574,$173.815,$174.84,$171.96
12/16/2020,$173.12,11105790,$173.99,$174.85,$171.6226
12/15/2020,$173.94,18817190,$170.49,$174.4699,$167.8201
12/14/2020,$169.3,30939390,$173.8,$177.3,$168.81
12/11/2020,$175.72,87410700,$169.675,$179.45,$165.33
12/10/2020,$154.69,8993216,$153.32,$155.34,$152.5
12/09/2020,$154.43,10804340,$156.29,$157.46,$153.89
12/08/2020,$153.72,7900575,$152.42,$154.88,$152.2505
12/07/2020,$153.68,6815460,$153.18,$153.88,$152.26
12/04/2020,$154.14,6033271,$153.69,$154.68,$152.81
12/03/2020,$153.24,9063241,$153.45,$154.4399,$152.13
12/02/2020,$153.61,10601880,$149.49,$154.01,$148.34
12/01/2020,$149.44,8827829,$149.57,$151.4,$149
11/30/2020,$148.01,9710134,$147.06,$148.69,$146.29
11/27/2020,$147.13,5306365,$149,$150.3499,$146.53
11/25/2020,$149.09,9551978,$150.27,$150.27,$147.235
11/24/2020,$151.49,16711740,$148.16,$151.86,$147.849
11/23/2020,$145.98,12887050,$142.45,$147.75,$141.7
11/20/2020,$141.07,8485920,$141.71,$142.61,$140.86
11/19/2020,$141.72,8892462,$142.57,$143.2996,$141.7
11/18/2020,$143.9,9456229,$144.5,$145.48,$143.35
11/17/2020,$144.5,9354936,$144.4,$144.83,$142.56
11/16/2020,$144.67,16382490,$141.57,$144.74,$141.57
11/13/2020,$138.36,21074460,$140.9,$141.19,$136.52
11/12/2020,$135.52,13893300,$136.34,$138.49,$134.105
11/11/2020,$137.82,9600863,$141.47,$142,$136.62
11/10/2020,$142.11,18115410,$139.97,$142.37,$137.67
11/09/2020,$142.59,35634680,$140.26,$147.68,$138.065
11/06/2020,$127.46,6259697,$126.255,$128.04,$124.6147
11/05/2020,$126.96,7654761,$126.78,$128.62,$125.8
11/04/2020,$125.07,7483043,$123.58,$126.86,$123.41
11/03/2020,$124.02,8144940,$121.605,$125.07,$121.37
11/02/2020,$120.13,9186007,$122.24,$122.93,$119.81
10/30/2020,$121.25,8098891,$120.64,$121.75,$119.0881
10/29/2020,$121.54,9583749,$118.16,$122.63,$117.23
10/28/2020,$118.47,11654680,$121.01,$121.53,$118.32
10/27/2020,$123.31,6813840,$124.03,$124.61,$123.03
10/26/2020,$124.06,8578901,$127.11,$127.11,$122.95
10/23/2020,$128.35,5439906,$128.1,$128.5,$126.35
10/22/2020,$127.56,5180071,$126.67,$128.1,$125.97
10/21/2020,$126.63,6591520,$124.36,$127.56,$123.835
10/20/2020,$124.95,6166070,$124.58,$125.73,$123.64
10/19/2020,$124.23,6576923,$127.37,$127.4,$123.71
10/16/2020,$126.81,6295112,$127.81,$128.12,$126.33
10/15/2020,$127.36,7748617,$125,$127.4,$124.43
10/14/2020,$126.59,11536580,$129.14,$129.5,$125.29
10/13/2020,$128.96,22388970,$129.8,$131.36,$127.9
10/12/2020,$124.97,10958230,$124.9,$125.94,$123.73
10/09/2020,$124.98,11502210,$123.85,$125.5495,$123.33
10/08/2020,$123.09,7404570,$123.58,$123.75,$122.4201
10/07/2020,$122.91,10187810,$121.95,$123.3098,$120.93
10/06/2020,$120.93,9051995,$123.13,$124.19,$120.61
10/05/2020,$123.37,5919150,$123.26,$123.595,$122.33
10/02/2020,$122.55,6490237,$121.99,$123.6775,$121.69
10/01/2020,$123.31,8908316,$124.94,$125.47,$122.42
09/30/2020,$124.08,13642450,$123.24,$125.55,$123.24
09/29/2020,$125.4,7432567,$125.92,$126.29,$123.675
09/28/2020,$125.99,6283678,$125.75,$126.86,$125.37
09/25/2020,$124,6851806,$121.36,$124.19,$120.98
09/24/2020,$122.49,8479997,$121.93,$123.8,$120.78
09/23/2020,$123.28,8323568,$127.07,$127.3,$122.901
09/22/2020,$127.21,6978779,$125.26,$127.47,$124.7
09/21/2020,$125.41,10352690,$125.98,$126.8858,$123.59
09/18/2020,$128.63,9916267,$129.5,$130.79,$128.1201
09/17/2020,$130.22,6723544,$130.55,$131.77,$128.6
09/16/2020,$132.09,6605949,$132.17,$133.62,$131.4
09/15/2020,$131.24,7289104,$131.46,$132.54,$131.005
09/14/2020,$131.25,8391896,$132.53,$132.93,$130.904
09/11/2020,$131.75,7165255,$133.74,$133.74,$131.09
09/10/2020,$133.22,9853420,$133.58,$136.75,$132.74
09/09/2020,$133.36,8891787,$134.28,$135.55,$132.26
09/08/2020,$134.2,17257350,$131.99,$137.14,$130.86
09/04/2020,$131.99,11248300,$133.75,$134.88,$129.42
09/03/2020,$133.24,12079180,$135.24,$137.2374,$132.02
09/02/2020,$135.39,8187761,$133.63,$135.92,$133.264
09/01/2020,$133.55,8344079,$131.92,$133.61,$130.89
08/31/2020,$131.87,11617510,$135.25,$135.54,$131.25
08/28/2020,$135.54,11020070,$134.5,$136.8,$133.5801
08/27/2020,$133.73,13667640,$133,$136.36,$132.82
08/26/2020,$132.18,8447779,$130,$132.6,$129.52
08/25/2020,$129.79,5494391,$130.83,$131.09,$129.31
08/24/2020,$130.69,7613610,$128.15,$130.88,$127.93
08/21/2020,$127.44,6064709,$127.72,$128.31,$127.23
08/20/2020,$128.12,4918122,$126.8,$128.45,$126.53
08/19/2020,$127.77,7624193,$129.25,$130.2166,$127.43
08/18/2020,$128.92,6714570,$129.44,$129.59,$128.36
08/17/2020,$129.37,7492155,$130.1,$130.1371,$128.54
08/14/2020,$130.53,6507571,$130.01,$131.08,$129.74
08/13/2020,$130.96,6468610,$130.64,$132.35,$130.45
08/12/2020,$131.79,12205200,$130.67,$133,$130.49
08/11/2020,$130.49,13885680,$130.53,$132.76,$130
08/10/2020,$128.79,8529151,$129.75,$131.32,$128.49
08/07/2020,$129.93,16088580,$130.22,$131.94,$128.66
08/06/2020,$130.82,27238000,$126.96,$131.63,$125.61
08/05/2020,$127.61,53122390,$123.37,$130.31,$123.28
