Date,Close/Last,Volume,Open,High,Low
02/06/2019,$46.11,1820764,$46.31,$46.73,$45.82
02/05/2019,$46.62,2081331,$46.25,$46.79,$45.96
02/04/2019,$45.82,1947316,$45.49,$46,$45.02
02/01/2019,$45.33,3870125,$46.48,$46.8,$45.2
01/31/2019,$46.41,4779994,$45.23,$46.45,$44.96
01/30/2019,$45.38,3082471,$46,$46.35,$45.25
01/29/2019,$45.92,3354924,$45.96,$46.09,$45.24
01/28/2019,$46.06,3724348,$46.65,$46.73,$45.69
01/25/2019,$47.08,2600825,$47,$47.65,$46.73
01/24/2019,$46.72,2472625,$46.54,$46.74,$45.6
01/23/2019,$46.63,2140498,$47.16,$47.16,$45.9
01/22/2019,$47.07,2321631,$47.26,$47.83,$46.78
01/18/2019,$47.52,4103977,$46.27,$47.87,$46.27
01/17/2019,$45.88,3465348,$44.83,$46.08,$44.77
01/16/2019,$45.01,10651230,$43.26,$45.065,$43.04
01/15/2019,$47.26,1717911,$47.07,$47.56,$46.98
01/14/2019,$47.28,1801272,$47.19,$47.85,$46.94
01/11/2019,$47.38,3632574,$47.21,$48.77,$46.84
01/10/2019,$47.3,4227848,$45.81,$47.34,$44.6
01/09/2019,$49.29,3078253,$48.91,$49.96,$48.21
01/08/2019,$49.02,2409050,$49.43,$49.98,$47.86
01/07/2019,$48.16,2383458,$46.74,$48.91,$46.65
01/04/2019,$46.97,2849645,$47.48,$47.69,$46.67
01/03/2019,$47,2915293,$47.24,$48.11,$46.59
01/02/2019,$47.48,2761683,$45.96,$48.1,$45.67
12/31/2018,$46.61,1972033,$46.12,$47.1,$45.55
12/28/2018,$46.05,2261408,$46.84,$46.89,$45.66
12/27/2018,$46.66,2278326,$46.09,$46.67,$44.9099
12/26/2018,$46.75,4339048,$44.7,$46.94,$44.7
12/24/2018,$44.19,2869730,$44.08,$44.95,$43.7
12/21/2018,$44.32,3989089,$46.26,$46.96,$44.23
12/20/2018,$46.13,3164476,$46.56,$47.07,$45.44
12/19/2018,$46.8,2453570,$48.29,$48.78,$46.66
12/18/2018,$48.31,2874664,$47.99,$48.81,$47.68
12/17/2018,$47.66,2454641,$48.38,$48.77,$47.4442
12/14/2018,$48.61,2426153,$48.84,$49.98,$48.37
12/13/2018,$48.97,2577215,$49.97,$50.43,$48.41
12/12/2018,$50.17,3000572,$49.64,$50.66,$49.26
12/11/2018,$49.04,2133548,$49.5,$50.3,$48.52
12/10/2018,$49.04,2453549,$49.57,$49.67,$47.8324
12/07/2018,$49.36,2757035,$50.74,$51.14,$49
12/06/2018,$50.69,3485916,$50.31,$50.91,$49.29
12/04/2018,$50.82,4275510,$53.04,$53.35,$50.37
12/03/2018,$53.15,2689336,$53.38,$53.77,$51.935
11/30/2018,$52.87,3680864,$51.98,$53.54,$51.94
11/29/2018,$52.3,3852121,$54.38,$54.65,$51.92
11/28/2018,$54.48,2634948,$53.19,$54.55,$52.9
11/27/2018,$52.99,2405864,$52.29,$53.15,$52.13
11/26/2018,$52.29,3710343,$51.92,$52.89,$51.69
11/23/2018,$51.54,1711619,$51.68,$52.47,$51.36
11/21/2018,$52.33,3275492,$51.18,$52.6794,$51.18
11/20/2018,$50.99,4074130,$49.11,$51.76,$48.27
11/19/2018,$51.26,4402080,$51.2,$51.89,$50.28
11/16/2018,$50.93,12764290,$52.6,$52.6,$49.8301
11/15/2018,$58.99,4864124,$59.9,$60.25,$58.25
11/14/2018,$61.1,3427532,$63.91,$65.24,$60.81
11/13/2018,$63.91,2722349,$65.1,$65.13,$63.73
11/12/2018,$64.3,1897752,$66.03,$66.6,$64.22
11/09/2018,$65.46,1584063,$66.32,$66.35,$65.08
11/08/2018,$66.54,1814520,$65,$67.2,$65
11/07/2018,$66.44,3010811,$67.53,$67.65,$64.59
11/06/2018,$67.46,1778945,$66.87,$67.745,$66.55
11/05/2018,$67.35,1770109,$66.54,$67.45,$65.14
11/02/2018,$66.49,1891237,$66.43,$67.67,$65.68
11/01/2018,$65.49,2603883,$65.6,$66.39,$64.5
10/31/2018,$65.77,5103952,$66.93,$67.7,$65.66
10/30/2018,$66.9,3761691,$63.3,$67.06,$63.29
10/29/2018,$62.59,3906596,$61.87,$64.74,$61.8462
10/26/2018,$61.12,2560826,$61.24,$62.29,$60.16
10/25/2018,$61.5,2195108,$59.39,$61.8,$59.34
10/24/2018,$59.28,3660904,$59.96,$62,$59.1
10/23/2018,$60.13,1266779,$59.87,$60.45,$58.23
10/22/2018,$60.52,2210315,$59.73,$60.98,$59.73
10/19/2018,$59.44,1656356,$59.93,$60.54,$58.93
10/18/2018,$60.11,1305494,$60.3,$60.96,$59.64
10/17/2018,$60.41,1656393,$62.11,$62.61,$59.87
10/16/2018,$62.56,1287834,$62.08,$62.68,$61.31
10/15/2018,$61.88,1547870,$61.79,$62.29,$61.25
10/12/2018,$61.49,2218750,$60.02,$61.66,$59.76
10/11/2018,$59.29,1949827,$60.87,$61.82,$59.25
10/10/2018,$60.98,1886105,$61.53,$62.59,$60.88
10/09/2018,$61.4,2173944,$61.496,$62.49,$60.83
10/08/2018,$61.92,2665947,$59.99,$62.11,$59.86
10/05/2018,$60.26,2958710,$59.53,$60.845,$59.25
10/04/2018,$59.33,2914817,$59.01,$59.97,$58.93
10/03/2018,$59.28,1844364,$58.75,$59.52,$58.31
10/02/2018,$58.54,1709764,$60.68,$60.92,$58.5
10/01/2018,$60.63,2078572,$60.03,$61.12,$59.81
09/28/2018,$59.81,1691771,$60.14,$60.63,$59.535
09/27/2018,$60.02,1477393,$60.18,$60.57,$59.83
09/26/2018,$60.38,1797200,$59.83,$61.38,$59.75
09/25/2018,$59.74,2559752,$60.36,$60.68,$59.47
09/24/2018,$59.99,1702150,$60.33,$60.86,$59.66
09/21/2018,$60.34,3464036,$61.16,$62.02,$60.17
09/20/2018,$61.03,4146074,$63.75,$63.78,$60.72
09/19/2018,$64.14,1311653,$64.14,$64.73,$63.5701
09/18/2018,$64.06,1444218,$64.16,$64.78,$63.93
09/17/2018,$64.1,1606169,$65.4,$65.4625,$63.78
09/14/2018,$65.5,1815315,$65.58,$65.58,$64.31
09/13/2018,$65.48,1443545,$65.73,$66.09,$65.14
09/12/2018,$65.84,1198203,$65.75,$66.01,$65.09
09/11/2018,$65.66,1845802,$65.31,$66.1,$65.2
09/10/2018,$65.49,2029065,$65.98,$66.273,$65.23
09/07/2018,$65.72,2317794,$64.97,$66.335,$64.52
09/06/2018,$65.11,2459603,$65.16,$66.3,$64.9495
09/05/2018,$64.83,5209888,$64.99,$65.78,$64.07
09/04/2018,$65.02,3320082,$63.37,$65.06,$63.3
08/31/2018,$62.85,2707720,$61.79,$63.03,$61.68
08/30/2018,$62.25,2057859,$60.89,$62.28,$60.89
08/29/2018,$61.38,2899794,$61.71,$61.75,$59.92
08/28/2018,$61.99,2333514,$60.77,$62.35,$60.61
08/27/2018,$60.59,2528910,$61.99,$61.99,$60.3
08/24/2018,$62.06,5098815,$61.77,$62.74,$61.575
08/23/2018,$62,2685103,$60.79,$62.18,$60.41
08/22/2018,$60.57,2180145,$61.56,$61.98,$60.51
08/21/2018,$61.35,4428716,$61.73,$62.05,$60.49
08/20/2018,$61.56,9035684,$59.39,$61.73,$59.07
08/17/2018,$59.18,17067260,$55.65,$59.25,$55.27
08/16/2018,$52.28,5397081,$52.11,$52.64,$50.9308
08/15/2018,$51.86,3667552,$54.02,$54.08,$51.48
08/14/2018,$54.88,2883711,$53.38,$54.97,$53.31
08/13/2018,$52.95,1791652,$52.7,$53.3,$52.55
08/10/2018,$52.58,2211533,$52.26,$53.3,$52.06
08/09/2018,$52.55,1890600,$51.7,$52.6724,$51.53
08/08/2018,$51.57,1591304,$50.68,$51.63,$50.67
08/07/2018,$50.99,2951095,$50.79,$51.35,$50.06
08/06/2018,$50.93,1746599,$50.24,$51.08,$50.19
08/03/2018,$50.58,2203378,$50.96,$51.47,$49.97
08/02/2018,$50.75,2235347,$50.19,$50.98,$49.88
08/01/2018,$50.26,1984465,$51.99,$52.23,$50.16
07/31/2018,$52.41,1428620,$52.82,$53.1,$52.09
07/30/2018,$52.49,1247966,$51.89,$52.805,$51.89
07/27/2018,$51.97,1269229,$52.93,$53.28,$51.81
07/26/2018,$52.83,1181416,$53.55,$54.28,$52.76
07/25/2018,$53.41,1430555,$52.79,$53.425,$52.67
07/24/2018,$52.52,1445951,$53.16,$53.285,$52.33
07/23/2018,$53.1,1705412,$52.48,$53.49,$52.41
07/20/2018,$52.59,4550205,$53.76,$54.61,$52.52
07/19/2018,$54.03,1164600,$53,$54.09,$52.99
07/18/2018,$53.06,1314801,$52.4,$53.18,$52.31
07/17/2018,$52.31,1337920,$52.25,$52.7,$51.66
07/16/2018,$52.43,1282461,$52.24,$52.76,$51.72
07/13/2018,$52.18,2312595,$53.25,$53.86,$52.02
07/12/2018,$53.39,3253286,$53.55,$53.69,$52.44
07/11/2018,$53.42,3057374,$52.03,$53.55,$51.63
07/10/2018,$52.09,7673791,$52,$52.43,$50.31
07/09/2018,$53.52,4129993,$54,$54.11,$52.37
07/06/2018,$53.95,3269122,$53.01,$54.09,$52.885
07/05/2018,$53.12,3728793,$51.88,$53.17,$51.68
07/03/2018,$51.38,927720,$50.81,$51.83,$50.78
07/02/2018,$50.71,2246281,$50,$50.71,$49.13
06/29/2018,$51.78,1525115,$52.68,$52.81,$51.7
06/28/2018,$52.38,1302621,$51.24,$52.555,$51.03
06/27/2018,$51.33,1737932,$51.41,$52.2,$51.22
06/26/2018,$51.57,2111317,$51.09,$51.66,$50.35
06/25/2018,$50.9,1729528,$51.17,$51.67,$50.67
06/22/2018,$51.43,2070234,$53,$53.05,$51.34
06/21/2018,$52.78,2066628,$52.25,$52.98,$51.98
06/20/2018,$51.83,1097091,$51.49,$51.91,$51.04
06/19/2018,$51.18,1728743,$51.04,$51.59,$50.82
06/18/2018,$51.6,1779926,$50.35,$51.63,$50.2607
06/15/2018,$50.49,2391375,$49.77,$50.53,$49.41
06/14/2018,$49.87,3028676,$51.37,$51.37,$49.735
06/13/2018,$51.49,2018396,$53.15,$53.25,$51.44
06/12/2018,$52.93,2101780,$52.38,$53.36,$52.06
